mode,entry_time,exit_time,entry_price,exit_price,leverage,net_pnl,return_on_margin_pct,exit_reason,hold_bars,balance_after_trade
SWING,2024-04-08 00:00:00,2024-04-09 00:00:00,69298.857,71661.26488,3.0,402855.3121260657,10.07192909787819,TIMEOUT,288,4402638.354789994
SWING,2024-04-10 00:00:00,2024-04-11 00:00:00,69159.42912,70467.10376,3.0,242643.4773841434,5.519599153625854,TIMEOUT,288,4638677.874641952
SWING,2024-04-12 00:00:00,2024-04-12 17:25:00,70195.63632,67374.33330502656,3.0,-565142.5962376649,-12.201571200000002,SL,209,4066577.261592324
SNIPER,2024-04-12 17:25:00,2024-04-12 18:35:00,67933.78404,65882.59136469624,4.0,-498034.4523667818,-12.271561199999972,SL,14,3560409.6547023575
SNIPER,2024-04-12 18:35:00,2024-04-12 22:35:00,66096.31662,67099.87734,4.0,208588.23340045384,5.87028646032898,TIMEOUT,48,3761877.0687934067
SWING,2024-04-13 00:00:00,2024-04-13 19:55:00,67071.11154,64375.389424984314,3.0,-458319.5968417933,-12.20157120000002,SL,239,3297914.656348423
SNIPER,2024-04-13 19:55:00,2024-04-13 20:05:00,64792.055819999994,62835.724486570914,4.0,-403896.2041468113,-12.2715612,SL,2,2887422.622888915
SNIPER,2024-04-13 20:20:00,2024-04-14 00:20:00,62383.87428,63408.51576,4.0,183463.77954141024,6.366627488785702,TIMEOUT,48,3065111.557184547
SNIPER,2024-04-14 00:25:00,2024-04-14 04:25:00,63579.513360000004,64113.574720000004,4.0,96611.15892024097,3.158278798376759,TIMEOUT,48,3155592.4929904193
SWING,2024-04-14 08:00:00,2024-04-15 08:00:00,64412.67996,66337.52984,3.0,277604.6890530301,8.810444385739242,TIMEOUT,288,3428463.7933039637
SWING,2024-04-15 08:00:00,2024-04-15 17:25:00,66364.07016,63696.76545212928,3.0,-417698.96112999524,-12.201571200000016,SL,113,3005622.136484013
SNIPER,2024-04-16 04:45:00,2024-04-16 08:45:00,62223.34218,63272.742920000004,4.0,196254.1373457863,6.542653177296782,TIMEOUT,48,3195865.0295568313
SWING,2024-04-16 16:00:00,2024-04-17 16:00:00,61812.159960000005,60021.993200000004,3.0,-281901.66206749575,-8.834076132161748,TIMEOUT,288,2909169.5699450006
SWING,2024-04-18 16:00:00,2024-04-19 01:40:00,63439.88544,60890.10956439552,3.0,-354431.94981096446,-12.201571199999991,SL,116,2550373.8657791186
SNIPER,2024-04-19 01:45:00,2024-04-19 05:45:00,61195.03656,62277.542,4.0,174917.14820323064,6.872234926890944,TIMEOUT,48,2720190.266250791
SWING,2024-04-20 08:00:00,2024-04-21 08:00:00,63895.2765,65115.974200000004,3.0,151519.0938810775,5.578533084053579,TIMEOUT,288,2867629.074732492
SWING,2024-04-21 08:00:00,2024-04-22 08:00:00,65142.025799999996,66026.2921,3.0,112250.88474835765,3.9202948181111545,TIMEOUT,288,2975578.5158687513
SNIPER,2024-04-22 15:10:00,2024-04-22 19:10:00,65738.74512,66321.53304000001,4.0,99313.59834475195,3.344311805628227,TIMEOUT,48,3068940.9571817657
SWING,2024-04-23 00:00:00,2024-04-24 00:00:00,66731.3436,66496.39805999999,3.0,-36946.7824132182,-1.2057021089112343,TIMEOUT,288,3027390.763332775
SNIPER,2024-04-26 14:40:00,2024-04-26 18:40:00,64040.3055,63962.30498,4.0,-20755.152983038555,-0.6869528284183554,TIMEOUT,48,3000580.8288230705
SWING,2024-04-28 08:00:00,2024-04-29 08:00:00,63893.576160000004,62381.62118,3.0,-217082.30088261171,-7.245544309770885,TIMEOUT,288,2778997.656697224
SWING,2024-05-03 00:00:00,2024-05-04 00:00:00,59052.20808,62807.33602,3.0,524926.9602506488,18.91745148773448,TIMEOUT,288,3299756.120462827
SNIPER,2024-05-06 08:35:00,2024-05-06 12:35:00,65381.073599999996,63965.80428,4.0,-291584.5798594638,-8.8542579217604,TIMEOUT,48,3001572.028362437
